,gene,kl_divergence,p_value,fdr
249,Uqcrfs1,0.19483904228499616,0.000999000999000999,0.004450398170876081
250,Eef1a2,0.19541534031910207,0.000999000999000999,0.004450398170876081
251,Uqcrq,0.1954243234761134,0.000999000999000999,0.004450398170876081
252,Trnp1,0.1956753382348937,0.000999000999000999,0.004450398170876081
253,Stmn1,0.19638122222751686,0.000999000999000999,0.004450398170876081
254,Prdx2,0.1967943619769227,0.000999000999000999,0.004450398170876081
255,Tmem30a,0.1976964392165298,0.000999000999000999,0.004450398170876081
256,Tmsb10,0.19775985708195587,0.000999000999000999,0.004450398170876081
257,Atp5c1,0.19789626411326727,0.000999000999000999,0.004450398170876081
258,Chgb,0.19791104765444084,0.000999000999000999,0.004450398170876081
259,Gabarapl1,0.1983159312203355,0.000999000999000999,0.004450398170876081
260,X2010107E04Rik,0.19840095204816963,0.000999000999000999,0.004450398170876081
261,Polr2m,0.19853609914435563,0.000999000999000999,0.004450398170876081
262,Ctbp1,0.1987191212946688,0.000999000999000999,0.004450398170876081
263,Gria2,0.19876469909336797,0.000999000999000999,0.004450398170876081
264,Sec62,0.1990091805687866,0.000999000999000999,0.004450398170876081
265,Hsbp1,0.19903263066648733,0.000999000999000999,0.004450398170876081
266,Actr2,0.1992964301599448,0.000999000999000999,0.004450398170876081
267,Mpc1,0.19935490337962758,0.000999000999000999,0.004450398170876081
268,Ndufa13,0.19940978898192188,0.000999000999000999,0.004450398170876081
269,Gpx4,0.19957440385900635,0.000999000999000999,0.004450398170876081
270,Rpl3,0.1998192103260198,0.000999000999000999,0.004450398170876081
271,Rab14,0.2000124311960076,0.000999000999000999,0.004450398170876081
272,Hint1,0.20061410376200456,0.000999000999000999,0.004450398170876081
273,Atp1b1,0.20136776259791442,0.000999000999000999,0.004450398170876081
274,Ywhaq,0.20162678492371194,0.000999000999000999,0.004450398170876081
275,Arf1,0.20177654788270644,0.000999000999000999,0.004450398170876081
276,Cds2,0.20187305509949413,0.000999000999000999,0.004450398170876081
277,Map1a,0.20211386861327063,0.000999000999000999,0.004450398170876081
278,Tspyl4,0.202442751981792,0.000999000999000999,0.004450398170876081
279,Atp1a3,0.20248094338858624,0.000999000999000999,0.004450398170876081
280,Gnai2,0.20261059562593217,0.000999000999000999,0.004450398170876081
281,Eif1,0.2027318450407312,0.000999000999000999,0.004450398170876081
282,Btbd1,0.20301476558153492,0.000999000999000999,0.004450398170876081
283,Tpi1,0.20319714386127644,0.000999000999000999,0.004450398170876081
284,Tubb2a,0.20359827054600912,0.000999000999000999,0.004450398170876081
285,Ndufb5,0.20384065217835085,0.000999000999000999,0.004450398170876081
286,Iqsec3,0.20407707289507293,0.000999000999000999,0.004450398170876081
287,Pla2g7,0.2041283925480759,0.000999000999000999,0.004450398170876081
288,Ndufa12,0.20424039505362993,0.000999000999000999,0.004450398170876081
289,Ndufc2,0.20463145528442678,0.000999000999000999,0.004450398170876081
290,Strbp,0.20493790222986874,0.000999000999000999,0.004450398170876081
291,Eps15,0.2051557821392872,0.000999000999000999,0.004450398170876081
292,Mir703,0.2052705780391716,0.000999000999000999,0.004450398170876081
293,Eif3f,0.2055641817887604,0.000999000999000999,0.004450398170876081
294,Son,0.2057497455072544,0.000999000999000999,0.004450398170876081
295,Cadm2,0.20584111648470083,0.000999000999000999,0.004450398170876081
296,Hlf,0.20594361900359753,0.000999000999000999,0.004450398170876081
297,Pdha1,0.20595561654707695,0.000999000999000999,0.004450398170876081
298,Timp2,0.2064747176391562,0.000999000999000999,0.004450398170876081
299,Eif5,0.20776216382701487,0.000999000999000999,0.004450398170876081
300,Clasp2,0.20793424729588572,0.000999000999000999,0.004450398170876081
301,Setd7,0.20839439496649223,0.000999000999000999,0.004450398170876081
302,Vamp2,0.20848603052597373,0.000999000999000999,0.004450398170876081
303,Aff4,0.20870108650718122,0.000999000999000999,0.004450398170876081
304,Rpsa,0.20873861587665965,0.000999000999000999,0.004450398170876081
305,Scoc,0.2091019685413881,0.000999000999000999,0.004450398170876081
306,Luzp2,0.2092220543475986,0.000999000999000999,0.004450398170876081
307,Dclk1,0.20974567789993473,0.000999000999000999,0.004450398170876081
308,Rps29,0.20980668733938096,0.000999000999000999,0.004450398170876081
309,Arrb1,0.2099097517747014,0.000999000999000999,0.004450398170876081
310,Pja2,0.2100674873795682,0.000999000999000999,0.004450398170876081
311,Ednrb,0.21014900522955848,0.000999000999000999,0.004450398170876081
312,Dazap2,0.21021200901126988,0.000999000999000999,0.004450398170876081
313,Sep15,0.21039765903051166,0.000999000999000999,0.004450398170876081
314,Atrx,0.2105990364405948,0.000999000999000999,0.004450398170876081
315,Atp5h,0.2106208591114892,0.000999000999000999,0.004450398170876081
316,Tceb2,0.21091244220276978,0.000999000999000999,0.004450398170876081
317,Ddx6,0.21147364358366133,0.000999000999000999,0.004450398170876081
318,Ndrg3,0.21173262952106822,0.000999000999000999,0.004450398170876081
319,Idh3b,0.21174681490714217,0.000999000999000999,0.004450398170876081
320,Clcn3,0.21304963267370158,0.000999000999000999,0.004450398170876081
321,Pfkm,0.21356179644351433,0.000999000999000999,0.004450398170876081
322,Ppp1cb,0.21378870921893128,0.000999000999000999,0.004450398170876081
323,Dnajc6,0.21463828024740328,0.000999000999000999,0.004450398170876081
