gene,cosine_similarity
Pcnp,0.8563959
Rpl10a,0.8561346
Smdt1,0.85593307
B2m,0.85589147
Rpl31.ps12,0.855881
Ndn,0.855854
Dzank1,0.8554878
Srp14,0.855405
Hprt,0.8553734
Rbbp6,0.85500973
Dlg2,0.85482806
Sod2,0.85456914
Atp1a1,0.85422355
Atp6v1g2,0.8542033
Acly,0.8541821
Ran,0.85405666
Mapk8ip3,0.85397404
Fubp1,0.8539637
Pygb,0.8538402
Hnrnpm,0.85380423
Tceal3,0.8537446
Scamp5,0.8537094
Htra1,0.85365605
Eif1b,0.85353255
Sqstm1,0.8534371
Mtch1,0.85337794
D3Bwg0562e,0.8532059
Gabbr1,0.85319465
Atp2b2,0.85317236
Pfkp,0.8529774
Ppp1r16b,0.8527278
Rps16,0.85257953
Cxx1b,0.852471
Snca,0.8524502
Rpl10,0.8524468
BC031181,0.8524285
Cxx1c,0.85232586
Itfg1,0.8522686
Reln,0.85202074
Epn1,0.8519169
Hap1,0.8518712
Rabac1,0.8518088
Ttc14,0.8517508
Huwe1,0.85175043
Pde4d,0.85158527
Ubr3,0.85152376
Rpl36al,0.8514933
Atp6v0e2,0.8513597
Akr1a1,0.85135627
Ndufs4,0.8512526
Ndufb3,0.8511874
Hspe1,0.85106
H2afy,0.85104644
Tomm20,0.85088533
Prkcb,0.85083795
Hmgb1,0.8508123
Tspan5,0.85075057
Inpp5f,0.8506896
Fam134a,0.85059386
Dync1li2,0.85054904
Sort1,0.8505107
Sirpa,0.8504821
Grlf1,0.85043585
Amph,0.8503791
Negr1,0.8502823
Zfp644,0.85026115
Top2b,0.85019886
Dbc1,0.85010993
Acsl3,0.85006565
Fkbp8,0.8500502
Timp3,0.84983575
Ndufb10,0.8497446
Fyn,0.8494423
Rplp0,0.8492781
Uqcrc2,0.8492554
Enpp2,0.8492502
Shisa9,0.84923524
S100a1,0.849164
Ndufa5,0.8491488
Rcan2,0.84901667
Ndufa7,0.8488021
Gnb5,0.8487678
Txn1,0.8486798
Arl2bp,0.8486549
Arpp21,0.84829724
Scg3,0.8481808
Map7d2,0.84806037
Ube2e3,0.84805983
Tm9sf3,0.84789574
Pja1,0.84787273
Cpsf6,0.847868
Camk2n2,0.8477845
Brd2,0.8475919
Pcmtd2,0.8475701
Rps18,0.8472106
Dctn3,0.8472103
Crmp1,0.8472096
Ivns1abp,0.8472085
Sept3,0.8471897
Hnrnph2,0.84703094
Ube2d2a,0.84698725
Tomm6,0.8469026
Atp1b3,0.84672326
Slc25a11,0.8466581
Pmm1,0.84638345
Atp6v1c1,0.8462593
Dctn2,0.84617543
Atp6v1d,0.846094
Tanc2,0.84603274
Wdr6,0.8459253
Kras,0.84591335
Lmbrd1,0.8458718
Clk1,0.8456394
Csnk1a1,0.84542805
Prkaca,0.84524995
Grina,0.8451769
Golga7,0.845123
X1110004F10Rik,0.84508455
Cadm4,0.84492826
Bptf,0.8446798
B230219D22Rik,0.8446031
Emc10,0.84454423
Vegfb,0.84448534
Hipk1,0.84430987
Tspyl1,0.8442332
Necap1,0.8440488
Ppp3ca,0.84402454
Stx7,0.84394985
Rbbp4,0.84387255
Anp32a,0.84386414
Hist1h2bc,0.8437723
Srsf11,0.8436984
Jak1,0.84368217
Pcm1,0.84362483
Naa50,0.84333944
Fasn,0.8432993
Eif4b,0.84317
Srsf2,0.8431556
Trip12,0.84307665
Gm6548,0.8430679
Myl6,0.84231424
Itgav,0.8422985
Ube2n,0.8420993
Lrrc4b,0.8420336
Prkca,0.8420034
Isca1,0.8417818
Plekhb1,0.84155446
Ube2ql1,0.8415282
Fam184a,0.84127504
Cct6a,0.84123284
Fam120a,0.84112114
Ndufb11,0.84106565
Thy1,0.8409143
Ncald,0.8407858
Adk,0.8405823
Kcna2,0.84053683
Myt1l,0.84038424
Acsl6,0.8403779
Dnajc5,0.8403714
Secisbp2l,0.8403286
Tecr,0.8402524
Wbp5,0.84023684
Wdr26,0.840158
Fscn1,0.84006315
Ank,0.8395785
X2610507B11Rik,0.8395671
Nedd8,0.83954
Rpl29,0.8394733
Papola,0.8394298
Ptplad1,0.839381
Plcxd2,0.83920014
Gbas,0.8391763
Rpl5,0.83907765
Elmod1,0.8388589
Hdgf,0.83863527
Cfl2,0.83853114
Usp32,0.83852065
Tm9sf2,0.83846307
Arfgef1,0.83830833
Capzb,0.83786786
Nfe2l1,0.8377458
Tprgl,0.8376818
Cpne4,0.83751553
Mfap3l,0.8375009
